回复数,标题,Tid
6,今年我们学校的本科毕业生什么时候要收拾离校呀,7858640705
23,佛科院逃离计划,7858620524
2,救救孩子吧,7859883148
19,震惊！某未改大高校竟发生这样的事情！,7858205357
5,有没有选过钢琴课的同学,7859328995
4,好好多修电脑那里好坑，手机换屏修电脑比外面坑的更离谱,7859499780
172,家人们阿叔水果档发生甚么事了？,7848142528
67,关于阿叔水果档的往事,7850256982
0,江湾租房。,7859683562
4,学前教育专业在这个学校咋样,7858927493
4,呜呜呜呜！寻物（虽然找到的可能性不大）,7859513579
18,成功上岸了，给想考编的师弟师妹们一点建议,7858021973
7,求助一下学长学姐,7859140450
6,电子信息学院有没有需要科研助理的,7857725267
29,uu们我想问一下宿舍能不能放小冰箱啊,7833376121
28,咱们佛大真是太暖心了捏,7792316704
12,可能是鼠鼠我耳朵出问题了,7834934420
7,倒计时15天，考完试是不是可以开溜？,7858611332
2,有没有法学的师兄帮帮我，分享一些婚姻家庭法和刑法（总则）的复,7858634556
116,来背单词！,7822248244
,,
54,请大伙来玩个游戏,7842801315
6,端午节快到了,7858670927
4,快高考了怎么办,7858925883
2,毕业季有人出电动车吗,7848970245
41,今天吃了duck鱼,7857568500
12,今天我才发现，小布丁有两种，一块和五角,7841097248
41,校长岗空缺一年了,7857516345
22,阿叔在给买水果的学生放之前那些吵架的视频,7855570084
7,专插 本，护理专业，校考排名465,7858035036
70,就业实习后不合适，最后选择考研上岸，给师弟师妹们一些小建议,7847009527
17,六一了，祝8u🚪天天快乐，不挂科,7858449040
8,关于毕业。,7858066598
13,儿童节快乐但是距离离校时间越来越近了顿时就伤感起来了,7858634110
7,找两个队友,7856489024
7,2023学科数学考研,7755745882
14,我们大专有这种活动吗？,7856665267
11,我想找个同学,7857972176
1,端午放假,7858732206
2,有没有电子信息考研上岸的学长学姐,7857673903
7,有没有师兄师姐可以跟我说一下佛大的学士学位证的获得条件，我是,6067438475
6,这人自从发了佛科，定位火了之后，就一直定位我佛,7857454973
